episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
163, 905.2850587964058, 1, 11.95347745700019, 339, 97308,                                             97308, 15.520666122436523, 320.98583984375
164, -4563.641092658043, 3, 17.843387491999238, 522, 97830,                                             97830, 16.627775192260742, 322.4587707519531
165, 1632.6420057713985, 1, 16.17733033299919, 463, 98293,                                             98293, 15.884505271911621, 320.0811767578125
166, -3326.3753585219383, 3, 17.989789937999376, 518, 98811,                                             98811, 16.18046760559082, 321.664306640625
167, -2131.2285165786743, 1, 31.739219237000725, 931, 99742,                                             99742, 16.181297302246094, 323.34857177734375
168, -6675.205364406109, 2, 29.499045083000965, 857, 100599,                                             100599, 16.09110450744629, 324.8065185546875
169, 1935.893747985363, 1, 9.557927362000555, 270, 100869,                                             100869, 15.92717170715332, 323.015380859375
170, 1865.4516444802284, 1, 11.767622628998652, 334, 101203,                                             101203, 15.349485397338867, 322.1059265136719
171, -361.82966327667236, 1, 15.010701462000725, 437, 101640,                                             101640, 16.926069259643555, 323.0447998046875
172, -4962.55265712738, 2, 7.7306223300001875, 217, 101857,                                             101857, 16.255537033081055, 324.83587646484375
173, -2677.5302534103394, 3, 10.41047679300027, 301, 102158,                                             102158, 15.93725872039795, 321.4506530761719
174, -4501.154613375664, 2, 13.843394433999492, 392, 102550,                                             102550, 16.078588485717773, 322.224365234375
175, -3897.899814724922, 2, 13.611506065000867, 395, 102945,                                             102945, 15.776034355163574, 321.72613525390625
176, 1943.102857351303, 1, 12.79287510499853, 371, 103316,                                             103316, 16.293943405151367, 320.3760681152344
177, -3355.8716871738434, 2, 3.9829813169999397, 110, 103426,                                             103426, 14.972119331359863, 324.46270751953125
178, 1953.6857274770737, 1, 12.957095323999965, 373, 103799,                                             103799, 16.156274795532227, 323.09124755859375
179, -6314.976388692856, 2, 25.058870328999546, 734, 104533,                                             104533, 16.332805633544922, 323.4479064941406
180, -3196.044120848179, 2, 11.754928671000016, 335, 104868,                                             104868, 17.385217666625977, 323.5314025878906
181, 1864.6960821151733, 1, 9.568259072000728, 277, 105145,                                             105145, 16.0096378326416, 324.9064025878906
182, 1854.6069748401642, 1, 12.542945088000124, 365, 105510,                                             105510, 16.018905639648438, 322.7447509765625
183, 379.118476331234, 1, 17.04438857400055, 498, 106008,                                             106008, 16.38107681274414, 322.4876708984375
184, -7691.791833639145, 1, 38.703321840999706, 1133, 107141,                                             107141, 16.9632625579834, 324.8444519042969
185, 1494.7672501504421, 1, 20.47020697500011, 602, 107743,                                             107743, 16.75700569152832, 323.3448181152344
